Year,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2021,20659,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,2.8,,,2.6,3.1,23498,POINT (-76.73379724 38.41986608),20659,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2020,20659,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,36.3,,,35.7,36.8,23498,POINT (-76.73379724 38.41986608),20659,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2021,20659,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.6,,,2.4,2.7,23498,POINT (-76.73379724 38.41986608),20659,HLTHOUT,STROKE,CrdPrv,Stroke
2020,20659,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,10.9,,,9.7,12.3,23498,POINT (-76.73379724 38.41986608),20659,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2021,20659,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,3.7,,,3.3,4,23498,POINT (-76.73379724 38.41986608),20659,DISABLT,VISION,CrdPrv,Vision Disability
2021,20660,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,7.1,,,5.1,9.5,97,POINT (-76.70661409 38.37023207),20660,PREVENT,ACCESS2,CrdPrv,Health Insurance
2021,20660,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,25.6,,,22.5,28.5,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2021,20660,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,17.2,,,14.5,19.8,97,POINT (-76.70661409 38.37023207),20660,RISKBEH,BINGE,CrdPrv,Binge Drinking
2021,20660,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,31.7,,,28.5,34.9,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2021,20660,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,72.5,,,69.1,75.7,97,POINT (-76.70661409 38.37023207),20660,PREVENT,BPMED,CrdPrv,Taking BP Medication
2021,20660,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.4,,,5.7,7.1,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2021,20660,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.5,,,9.2,11.9,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2020,20660,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,83.8,,,81.2,86.2,97,POINT (-76.70661409 38.37023207),20660,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2021,20660,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.1,,,4.2,6,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2021,20660,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,72.6,,,68.7,76.2,97,POINT (-76.70661409 38.37023207),20660,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2021,20660,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86.3,,,83.4,88.7,97,POINT (-76.70661409 38.37023207),20660,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2021,20660,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,12,,,9.7,14.4,97,POINT (-76.70661409 38.37023207),20660,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2020,20660,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,68.7,,,64.2,72.9,97,POINT (-76.70661409 38.37023207),20660,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2021,20660,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.8,,,4.5,7.3,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,COPD,CrdPrv,COPD
2020,20660,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,40.5,,,31.2,49.7,97,POINT (-76.70661409 38.37023207),20660,PREVENT,COREM,CrdPrv,Core preventive services for older men
2020,20660,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,27.9,,,18.3,38.3,97,POINT (-76.70661409 38.37023207),20660,PREVENT,COREW,CrdPrv,Core preventive services for older women
2021,20660,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,14.7,,,11.1,18.6,97,POINT (-76.70661409 38.37023207),20660,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2020,20660,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,69.2,,,64.7,73.9,97,POINT (-76.70661409 38.37023207),20660,PREVENT,DENTAL,CrdPrv,Dental Visit
2021,20660,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,20.5,,,17.4,23.7,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,DEPRESSION,CrdPrv,Depression
2021,20660,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.7,,,7.4,10.2,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,20660,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,24.1,,,20.1,28.2,97,POINT (-76.70661409 38.37023207),20660,DISABLT,DISABILITY,CrdPrv,Any Disability
2021,20660,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.6,,,9.9,15.5,97,POINT (-76.70661409 38.37023207),20660,HLTHSTAT,GHLTH,CrdPrv,General Health
2021,20660,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,5.5,,,4.7,6.5,97,POINT (-76.70661409 38.37023207),20660,DISABLT,HEARING,CrdPrv,Hearing Disability
2021,20660,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,35.3,,,32.1,38.6,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2021,20660,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,6.5,,,5.2,7.9,97,POINT (-76.70661409 38.37023207),20660,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2021,20660,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.5,,,2.2,2.9,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2021,20660,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,20.7,,,17,25.1,97,POINT (-76.70661409 38.37023207),20660,RISKBEH,LPA,CrdPrv,Physical Inactivity
2020,20660,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,71,,,65.8,76.4,97,POINT (-76.70661409 38.37023207),20660,PREVENT,MAMMOUSE,CrdPrv,Mammography
2021,20660,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,16.8,,,14.4,19.1,97,POINT (-76.70661409 38.37023207),20660,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2021,20660,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,10.8,,,8.7,13.2,97,POINT (-76.70661409 38.37023207),20660,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2021,20660,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,34.1,,,29.5,38.5,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,20660,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,9.4,,,7.9,11.1,97,POINT (-76.70661409 38.37023207),20660,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2021,20660,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,2.8,,,2.2,3.5,97,POINT (-76.70661409 38.37023207),20660,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2020,20660,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,34.9,,,33,36.7,97,POINT (-76.70661409 38.37023207),20660,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2021,20660,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.6,,,2.1,3.1,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,STROKE,CrdPrv,Stroke
2020,20660,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,12.1,,,5,22.1,97,POINT (-76.70661409 38.37023207),20660,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2021,20660,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,3.8,,,3,4.6,97,POINT (-76.70661409 38.37023207),20660,DISABLT,VISION,CrdPrv,Vision Disability
2021,20662,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,9.3,,,7.4,11.3,2934,POINT (-77.20398169 38.43519575),20662,PREVENT,ACCESS2,CrdPrv,Health Insurance
2021,20662,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,28.1,,,25.1,31,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2021,20662,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.1,,,13.6,18.6,2934,POINT (-77.20398169 38.43519575),20662,RISKBEH,BINGE,CrdPrv,Binge Drinking
2021,20662,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,41.6,,,38.3,44.8,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2021,20662,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,79.2,,,76.2,81.8,2934,POINT (-77.20398169 38.43519575),20662,PREVENT,BPMED,CrdPrv,Taking BP Medication
2021,20662,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.4,,,5.8,7.1,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2021,20662,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.3,,,9.1,11.7,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2020,20662,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,86.1,,,84.5,87.8,2934,POINT (-77.20398169 38.43519575),20662,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2021,20662,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.9,,,5.2,6.7,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2021,20662,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,78.7,,,75.2,81.7,2934,POINT (-77.20398169 38.43519575),20662,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2021,20662,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.8,,,85.5,89.8,2934,POINT (-77.20398169 38.43519575),20662,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2021,20662,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,12.8,,,11,14.7,2934,POINT (-77.20398169 38.43519575),20662,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2020,20662,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,72,,,69.6,74.4,2934,POINT (-77.20398169 38.43519575),20662,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2021,20662,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,7.5,,,6.4,8.8,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,COPD,CrdPrv,COPD
2020,20662,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,39.8,,,33.9,45.6,2934,POINT (-77.20398169 38.43519575),20662,PREVENT,COREM,CrdPrv,Core preventive services for older men
2020,20662,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,39,,,34.2,44,2934,POINT (-77.20398169 38.43519575),20662,PREVENT,COREW,CrdPrv,Core preventive services for older women
2021,20662,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,18.1,,,15.1,21.2,2934,POINT (-77.20398169 38.43519575),20662,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2020,20662,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,59.1,,,56,62.1,2934,POINT (-77.20398169 38.43519575),20662,PREVENT,DENTAL,CrdPrv,Dental Visit
2021,20662,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,18.1,,,15.4,20.9,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,DEPRESSION,CrdPrv,Depression
2021,20662,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.3,,,11.6,15,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,20662,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,26.6,,,23.2,30.1,2934,POINT (-77.20398169 38.43519575),20662,DISABLT,DISABILITY,CrdPrv,Any Disability
2021,20662,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,18.8,,,16.3,21.4,2934,POINT (-77.20398169 38.43519575),20662,HLTHSTAT,GHLTH,CrdPrv,General Health
2021,20662,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,5.7,,,5.1,6.4,2934,POINT (-77.20398169 38.43519575),20662,DISABLT,HEARING,CrdPrv,Hearing Disability
2021,20662,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,37.3,,,34,40.6,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2021,20662,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,7.8,,,6.8,8.9,2934,POINT (-77.20398169 38.43519575),20662,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2021,20662,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.2,,,2.9,3.5,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2021,20662,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,25.8,,,22.3,29.3,2934,POINT (-77.20398169 38.43519575),20662,RISKBEH,LPA,CrdPrv,Physical Inactivity
2020,20662,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,76.1,,,73.2,79,2934,POINT (-77.20398169 38.43519575),20662,PREVENT,MAMMOUSE,CrdPrv,Mammography
2021,20662,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.5,,,13.7,17.4,2934,POINT (-77.20398169 38.43519575),20662,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2021,20662,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,14.2,,,12.3,16,2934,POINT (-77.20398169 38.43519575),20662,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2021,20662,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,43.5,,,38.9,48.2,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,20662,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,11.9,,,10.5,13.5,2934,POINT (-77.20398169 38.43519575),20662,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2021,20662,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,4.1,,,3.6,4.6,2934,POINT (-77.20398169 38.43519575),20662,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2020,20662,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,39.4,,,38.3,40.5,2934,POINT (-77.20398169 38.43519575),20662,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2021,20662,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.6,,,3.2,4,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,STROKE,CrdPrv,Stroke
2020,20662,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,15.3,,,11.5,19.1,2934,POINT (-77.20398169 38.43519575),20662,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2021,20662,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,5.3,,,4.7,6.1,2934,POINT (-77.20398169 38.43519575),20662,DISABLT,VISION,CrdPrv,Vision Disability
2021,20664,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,8.6,,,6.8,10.6,2987,POINT (-76.92173644 38.35330275),20664,PREVENT,ACCESS2,CrdPrv,Health Insurance
2021,20664,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,29.3,,,26.3,32.4,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2021,20664,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,15.8,,,13.4,18.4,2987,POINT (-76.92173644 38.35330275),20664,RISKBEH,BINGE,CrdPrv,Binge Drinking
2021,20664,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,41.4,,,38.1,44.7,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2021,20664,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,79.9,,,77.2,82.4,2987,POINT (-76.92173644 38.35330275),20664,PREVENT,BPMED,CrdPrv,Taking BP Medication
2021,20664,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7,,,6.3,7.7,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2021,20664,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.2,,,9,11.5,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2020,20664,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,85,,,83.2,86.7,2987,POINT (-76.92173644 38.35330275),20664,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2021,20664,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.5,,,5.7,7.4,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2021,20664,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,78.6,,,75.3,81.7,2987,POINT (-76.92173644 38.35330275),20664,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2021,20664,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.6,,,85.4,89.7,2987,POINT (-76.92173644 38.35330275),20664,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2021,20664,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,12.7,,,10.9,14.6,2987,POINT (-76.92173644 38.35330275),20664,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2020,20664,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,72.4,,,70.2,74.7,2987,POINT (-76.92173644 38.35330275),20664,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2021,20664,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,8,,,6.8,9.3,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,COPD,CrdPrv,COPD
2020,20664,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,41.6,,,36,47.3,2987,POINT (-76.92173644 38.35330275),20664,PREVENT,COREM,CrdPrv,Core preventive services for older men
2020,20664,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,39.4,,,34.7,44.3,2987,POINT (-76.92173644 38.35330275),20664,PREVENT,COREW,CrdPrv,Core preventive services for older women
2021,20664,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,17.2,,,14.3,20.4,2987,POINT (-76.92173644 38.35330275),20664,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2020,20664,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,60.3,,,57.2,63.3,2987,POINT (-76.92173644 38.35330275),20664,PREVENT,DENTAL,CrdPrv,Dental Visit
2021,20664,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,19.1,,,16.4,21.9,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,DEPRESSION,CrdPrv,Depression
2021,20664,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.4,,,11.7,15.1,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,20664,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,27,,,23.8,30.5,2987,POINT (-76.92173644 38.35330275),20664,DISABLT,DISABILITY,CrdPrv,Any Disability
2021,20664,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,18.2,,,15.9,20.9,2987,POINT (-76.92173644 38.35330275),20664,HLTHSTAT,GHLTH,CrdPrv,General Health
2021,20664,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,6.5,,,5.8,7.4,2987,POINT (-76.92173644 38.35330275),20664,DISABLT,HEARING,CrdPrv,Hearing Disability
2021,20664,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,38.6,,,35.4,41.8,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2021,20664,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,7.9,,,6.8,9,2987,POINT (-76.92173644 38.35330275),20664,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2021,20664,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.3,,,3,3.6,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2021,20664,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,24.9,,,21.3,29,2987,POINT (-76.92173644 38.35330275),20664,RISKBEH,LPA,CrdPrv,Physical Inactivity
2020,20664,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,76.4,,,73,79.4,2987,POINT (-76.92173644 38.35330275),20664,PREVENT,MAMMOUSE,CrdPrv,Mammography
2021,20664,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.6,,,13.6,17.7,2987,POINT (-76.92173644 38.35330275),20664,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2021,20664,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,14.5,,,12.4,16.8,2987,POINT (-76.92173644 38.35330275),20664,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2021,20664,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,42.5,,,37.5,47.2,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,20664,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.1,,,10.4,13.8,2987,POINT (-76.92173644 38.35330275),20664,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2021,20664,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,4.2,,,3.7,4.9,2987,POINT (-76.92173644 38.35330275),20664,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2020,20664,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,37.4,,,36.2,38.5,2987,POINT (-76.92173644 38.35330275),20664,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2021,20664,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.6,,,3.2,4,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,STROKE,CrdPrv,Stroke
2020,20664,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,14.1,,,10.7,18.2,2987,POINT (-76.92173644 38.35330275),20664,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2021,20664,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,5.4,,,4.7,6.1,2987,POINT (-76.92173644 38.35330275),20664,DISABLT,VISION,CrdPrv,Vision Disability
2021,20667,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,7.2,,,5.8,8.8,494,POINT (-76.43992222 38.21892093),20667,PREVENT,ACCESS2,CrdPrv,Health Insurance
2021,20667,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,29.1,,,26,32,494,POINT (-76.43992222 38.21892093),20667,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2021,20667,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,15.1,,,12.8,17.5,494,POINT (-76.43992222 38.21892093),20667,RISKBEH,BINGE,CrdPrv,Binge Drinking
